№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;Конт. инф., конт. телефон;;Цена
1;;Продажа;;Ай-Даниль;Жилая недвижимость;Дом;;Тенистая;;437/-/-;;11 сот;;ИП;;3;;бассейн, сауна, территория благоустроена, вид на море, рядом озеро, тихое место;;Планета-Крым (0654) 23-14-28;;74 000 000,
;;;;;;;;;;;;;;;;;;;;;;
2;;Продажа;;Алупка;Жилая недвижимость;2 к.кв.;;Симферопольское шоссе;;70/30/10;;;;УЛ;;2/5;;треб. ремонт;;Планета-Крым (0654) 23-14-28;;3 663 000,
3;;Продажа;;Алупка;Жилая недвижимость;Участок;;Красногвардейская;;;;3.2 сот;;;;;;видовой, на участке есть строения, все коммуникации, рабочий проект, договор аренды;;Планета-Крым (0654) 23-14-28;;5 000 000,
;;;;;;;;;;;;;;;;;;;;;;
4;;Продажа;;Алушта;Жилая недвижимость;Дом, 8 комн.;;Ленина;;740/-/-;;;;;;3;;4 ванные, ЕР, камин, сауна, АОГВ;;Планета-Крым (0654) 23-14-28;;59 200 000,
5;;Продажа;;Алушта;Жилая недвижимость;Пентхаус;;Чатырдагская;"пансионат ""Дружба""";210/-/-;;;;ИП;;9,10/10;;в двух уровнях, под чистовую отделку, все коммуникации, панорамный вид на море и горы;;Планета-Крым (978) 738-71-77;;9 500 000,
;;;;;;;;;;;;;;;;;;;;;;
6;;Продажа;;Алушта;Гаражи;Гараж;;Б. Хмельницкого;;96/-/-;;0.33 сот;;ИП;;3;;гараж с надстройками, госакт, в/у, 2 спальни, кухня;;Планета-Крым (0654) 23-14-28;;3 330 000,
;;;;;;;;;;;;;;;;;;;;;;
7;;Продажа;;Верхний Мисхор;Жилая недвижимость;Дом;;Комсомольская;;350/-/-;;6 сот;;ИП;;4;;под крышей, оконные рамы и двери не установлены, панорамный вид на горы и море;;Планета-Крым (0654) 23-14-28;;12 950 000,
;;;;;;;;;;;;;;;;;;;;;;
8;;Продажа;;Виноградный;Жилая недвижимость;Дом;;;озеро Могаби;500/-/-;;15 сот;;ИП;;2;;все коммуникации, бассейн, вид на Ялту, окончание строительный работ январь 2015;;Планета-Крым (0654) 23-14-28;;75 000 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 1 из 9;;;
;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;;Конт. инф., конт. телефон;;Цена
9;;Продажа;;Виноградный;Жилая недвижимость;Участок;;;озеро Могаби;;;350 сот;;;;;;можно по отдельности, 32 госакта 10-15 соток;;Планета-Крым (0654) 23-14-28;;84 175 000,
;;;;;;;;;;;;;;;;;;;;;;
10;;Продажа;;Восход;Жилая недвижимость;8 к.кв.;;Авроры;;746/390/-;;;;ИП;;5,6,7;;3 ур. апартаменты премиум, панорамный вид, мебель, бытовая техника;;Планета-Крым (0654) 23-14-28;;40 000 000,
11;;Продажа;;Восход;Жилая недвижимость;Апартаменты;;;"""Консоль""";359/-/-;;;;ИП;;5,6,7/7;;новострой, бойлер, панорамный вид;;Планета-Крым (0654) 23-14-28;;22 644 000,
12;;Продажа;;Восход;Жилая недвижимость;Апартаменты;;;;615/360/-;;;;ИП;;5,6,7/7;;3 уровня, без внутренней отделки, вид на море и горы;;Планета-Крым (978) 738-71-77;;23 250 000,
13;;Продажа;;Восход;Жилая недвижимость;Апартаменты;;;;746/390/-;;;;ИП;;5,6,7/7;;3 уровня, в отличном состоянии, мебель, бытовая техника, вид на море и горы.;;Планета-Крым (978) 742-28-94;;33 500 000,
;;;;;;;;;;;;;;;;;;;;;;
14;;Продажа;;Гаспра;Жилая недвижимость;Дом;;Симферопольское шоссе;;106/-/-;;6 сот;;ИП;;;;жилой дом, состояние удовлетворительное, сад.;;Планета-Крым (978) 738-71-77;;7 020 000,
15;;Продажа;;Гаспра;Жилая недвижимость;Дом;;Симферопольское шоссе;Кореиз;106/-/-;;6 сот;;ИП;;2;;все коммуникации, состояние удовлетворительное, фруктовый сад;;Планета-Крым (0654) 23-14-28;;8 500 000,
16;;Продажа;;Гаспра;Жилая недвижимость;Участок;;Горького;;;;8 сот;;;;;;небольшой уклон, есть строение, вид на море и горы, дорога - асфальт;;Планета-Крым (0654) 23-14-28;;2 405 000,
17;;Продажа;;Гаспра;Жилая недвижимость;Участок;;Маратовская;;;;10 сот;;;;;;ровный, асфальтированный подъезд, коммуникации в 50 м.;;Планета-Крым (978) 742-28-94;;10 000 000,
;;;;;;;;;;;;;;;;;;;;;;
18;;Продажа;;Горный;Жилая недвижимость;Вилла;;;"ЖК ""Горный""";303/-/-;;20 сот;;ИП;;;;закрытый коттеджный поселок, инливидуальный дизайн, классический стиль;;Планета-Крым (978) 738-71-77;;245 000 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 2 из 9;;;
;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;;Конт. инф., конт. телефон;;Цена
19;;Продажа;;Гурзуф;Жилая недвижимость;2 к.кв.;;Строителей;Белый дом;65/39/-;;;;ИП;;6/14;;в отличном состоянии, панорамный вид на Адалары;;Планета-Крым (978) 738-71-76;;8 640 000,
20;;Продажа;;Гурзуф;Жилая недвижимость;2 к.кв.;;наб.им.Пушкина;;89/-/-;;;;УЛ;;5/10;;новострой, ремонт, турбокотел, мебель, бытовая техника, охрана;;Планета-Крым (0654) 23-14-28;;13 320 000,
21;;Продажа;;Гурзуф;Жилая недвижимость;2 к.кв.;;наб.им.Пушкина;;106/-/-;;;;УЛ;;5/10;;новострой, ремонт, турбокотел, мебель, бытовая техника, охрана;;Планета-Крым (0654) 23-14-28;;15 540 000,
22;;Продажа;;Гурзуф;Жилая недвижимость;2 к.кв.;;Ялтинская;;77/-/-;;;;УЛ;;7/12;;дизайнерский ремонт, мебель, бытовая техника, вид на море, закрытая территория;;Планета-Крым (0654) 23-14-28;;15 750 000,
23;;Продажа;;Гурзуф;Жилая недвижимость;2 к.кв.;;;Артек;77/-/-;;;;ИП;;7/12;;дизайнерский ремонт, автономное управление, вид на море, закрытая территория;;Планета-Крым (978) 742-28-94;;17 000 000,
24;;Продажа;;Гурзуф;Жилая недвижимость;2 к.кв.;;наб.им.Пушкина;;106/70/-;;;;ИП;;5/10;;дизайнерский ремонт, мебль, бытовая техника, вид на Адалары;;Планета-Крым (0654) 23-14-28;;21 000 000,
25;;Продажа;;Гурзуф;Жилая недвижимость;3 к.кв.;;Ялтинская;;;;;;ИП;;9/10;;новострой, вид на море, с отделкой;;Планета-Крым (0654) 23-14-28;;9 720 000,
26;;Продажа;;Гурзуф;Жилая недвижимость;3 к.кв.;;Гурзуфское шоссе;"""Резиденция солнца""";151/-/-;;;;ИП;;5/10;;без в/о, АОГВ, вид на море, свой пляж!;;Планета-Крым (0654) 23-14-28;;18 500 000,
27;;Продажа;;Гурзуф;Жилая недвижимость;3 к.кв.;;наб.им.Пушкина;;150/-/-;;;;ИП;;6/10;;премиум-класса, дизайнерский ремонт, мебель, встроенная техника, до моря 150 м;;Планета-Крым (0654) 23-14-28;;37 500 000,
28;;Продажа;;Гурзуф;Жилая недвижимость;Дом;;Дачная;;386/-/-;;14 сот;;ИП;;;;ливанские кедры, все коммуникации, бассейн, два заезда;;Планета-Крым (978) 738-71-77;;65 000 000,
29;;Продажа;;Гурзуф;Жилая недвижимость;Вилла;;Крымских партизан;;241/-/-;;6.54 сот;;ИП;;2;;панорамный вид на море и горы, 6 комнат, все коммуникации, бассейн, под чистовую отделку;;Планета-Крым (0654) 23-14-28;;62 500 000,
30;;Продажа;;Гурзуф;Жилая недвижимость;Участок;;;Новая деревня;;;7 сот;;;;;;ИЖС, панорамный вид на море и горы, незначительный уклон;;Планета-Крым (0654) 23-14-28;;5 000 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 3 из 9;;;
;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;;Конт. инф., конт. телефон;;Цена
31;;Продажа;;Гурзуф;Жилая недвижимость;Участок;;;Артек;;;7 сот;;;;;;ИЖС, незначительный уклон, коммуникации от 50 до 150 м, панорамный вид;;Планета-Крым (978) 738-71-76;;5 400 000,
32;;Продажа;;Гурзуф;Жилая недвижимость;Участок;;;"""Шато-Ришелье""";;;14.5 сот;;;;;;ровный, коммуникации до 70 м., подъезд еать;;Планета-Крым (978) 742-28-94;;8 640 000,
33;;Продажа;;Гурзуф;Жилая недвижимость;Участок;;;"панс. ""Молодежный""";;;12 сот;;;;;;ИЖС, 300 м. до моря, незначительный уклон, коммуникации до 50 м.;;Планета-Крым (978) 742-28-94;;14 500 000,
34;;Продажа;;Гурзуф;Жилая недвижимость;Участок;;Крымских партизан;;;;41.2 сот;;;;;;ИЖС, все коммуникации, ровный;;Планета-Крым (0654) 23-14-28;;42 500 000,
35;;Продажа;;Гурзуф;Жилая недвижимость;Участок;;;Новая деревня;;;90 сот;;;;;;ИЖС, вид на море игоры, можно по отдельности;;Планета-Крым (0654) 23-14-28;;72 000 000,
;;;;;;;;;;;;;;;;;;;;;;
36;;Продажа;;Керчь;Жилая недвижимость;Участок;Останино;Ленинское;;;;12 сот;;;;;;ровный, хороший подъезд, до моря 200 м.;;Планета-Крым (0654) 23-14-28;;1 620 000,
;;;;;;;;;;;;;;;;;;;;;;
37;;Продажа;;Кипарисное;Жилая недвижимость;Дом, 8 комн.;;Алуштинская;;200/-/-;;7 сот;;;;2;;беседка, гараж, газ, вода;;Планета-Крым (0654) 23-14-28;;14 060 000,
;;;;;;;;;;;;;;;;;;;;;;
38;;Продажа;;Кореиз;Жилая недвижимость;2 к.кв.;;Симферопольское шоссе;;88/-/-;;;;ИП;;9;;новострой, вид на море, ЕР, мебель;;Планета-Крым (0654) 23-14-28;;9 360 000,
39;;Продажа;;Кореиз;Жилая недвижимость;Дом;;;Самота;400/-/-;;6 сот;;ИП;;;;готов к проживанию, 8 спален, все коммуникации;;Планета-Крым (978) 738-71-76;;24 500 000,
40;;Продажа;;Кореиз;Жилая недвижимость;Дом;;Мисхорский спуск;;450/-/-;;13 сот;;ИП;;3;;5 спален, мебель, бытовая техника, бассейн, ландшафтный дизайн, вид на море и горы, охрана, видеонаблюдение, фруктовый сад;;Планета-Крым (0654) 23-14-28;;77 700 000,
41;;Продажа;;Кореиз;Жилая недвижимость;Участок;;Михайловых;;;;15 сот;;;;;;панорамный вид на море и горы, на участке дубы и можжевельник, есть уклон, коммуникации в 100 м;;Планета-Крым (0654) 23-14-28;;7 400 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 4 из 9;;;
;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;;Конт. инф., конт. телефон;;Цена
;;;;;;;;;;;;;;;;;;;;;;
42;;Продажа;;Краснокаменка;Жилая недвижимость;Участок;;Краснокаменка;;;;4 сот;;;;;;готовый эскизный проект, все коммуникации кроме канализации, вид на море.;;Планета-Крым (978) 742-28-94;;1 500 000,
;;;;;;;;;;;;;;;;;;;;;;
43;;Продажа;;Лазурное;Жилая недвижимость;Дом;;Головкинского;;392/-/-;;8 сот;;;;2;;вид на море и горы, бойлер, до моря 300 м;;Планета-Крым (0654) 23-14-28;;24 050 000,
44;;Продажа;;Лазурное;Жилая недвижимость;Дом;;Карьерная;Заказник;624/-/-;;50 сот;;;;1,2,3;;тихое место, вид на море, бассейн, отделка деревом;;Планета-Крым (0654) 23-14-28;;99 900 000,
;;;;;;;;;;;;;;;;;;;;;;
45;;Продажа;;Ливадия;Жилая недвижимость;2 к.кв.;Ливадия;Батурина;;59/44/-;;;;СФ;;3/3;;после капремонта, встр.мебель, автономное отопление, сарай, место под а/м;;Планета-Крым (0654) 23-14-28;;4 810 000,
;;;;;;;;;;;;;;;;;;;;;;
46;;Продажа;;М. Маяк;Жилая недвижимость;Дом;;Виноградная;;265/-/-;;9 сот;;ИП;;2;;современный дом, с отделкой, панорамное остекление, бассейн, беседка, ландшафтный дизайн;;Планета-Крым (0654) 23-14-28;;21 830 000,
47;;Продажа;;М. Маяк;Жилая недвижимость;Дом;;;;450/-/-;;10 сот;;;;;;основной и гостевой дом, бассейн, беседка, бильярд, сауна, более 8 комнат, панорамный вид на море и горы;;Планета-Крым (0654) 23-14-28;;27 750 000,
48;;Продажа;;М. Маяк;Жилая недвижимость;Участок;;Морская;;;;12 сот;;;;;;коммуникации в пределах 150 м, видовой;;Планета-Крым (0654) 23-14-28;;2 886 000,
;;;;;;;;;;;;;;;;;;;;;;
