№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;Конт. инф., конт. телефон;;Цена
49;;Продажа;;Массандра;Жилая недвижимость;Дом;Сосняк;;;116/-/-;;8 сот;;ИР;;3;;готов к проживанию, участок на 4 коотеджа, на территории бассейн;;Планета-Крым (0654) 23-14-28;;18 750 000,
50;;Продажа;;Массандра;Жилая недвижимость;Дом, 7 комн.;;Верхний Сосняк;;355/-/-;;20.58 сот;;ИП;;2;;мебель, бытовая техника, бассейн, сад, готов к проживанию;;Планета-Крым (0654) 23-14-28;;75 000 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 5 из 9;;;
;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;;Конт. инф., конт. телефон;;Цена
51;;Продажа;;Массандра;Жилая недвижимость;Участок;;Симферопольское шоссе;;;;10 сот;;;;;;все коммуникации, незначительный уклон, ИЖС;;Планета-Крым (0654) 23-14-28;;5 500 000,
52;;Продажа;;Массандра;Жилая недвижимость;Участок;;;Гува;;;12 сот;;;;;;все коммуникации, незначительный уклон, ИЖС;;Планета-Крым (0654) 23-14-28;;6 600 000,
53;;Продажа;;Массандра;Жилая недвижимость;Участок;;;;;;12 сот;;;;;;ИЖС, незначительный уклон, коммуникации до 50, панорамный вид;;Планета-Крым (978) 742-28-94;;7 020 000,
54;;Продажа;;Массандра;Жилая недвижимость;Участок;;Дражинского;;;;10 сот;;;;;;ИЖС, небольшой уклон, коммуникации вдоль участка;;Планета-Крым (978) 738-71-76;;8 000 000,
55;;Продажа;;Массандра;Жилая недвижимость;Участок;;Дражинского;;;;33 сот;;;;;;ИЖС, рельеф разный, коммуникации вдоль участка;;Планета-Крым (978) 738-71-76;;19 000 000,
;;;;;;;;;;;;;;;;;;;;;;
56;;Продажа;;Нижний Мисхор;Жилая недвижимость;Дом;;Южная;;462/-/-;;6 сот;;;;3;;с/у совм., Б, Л, мансарда, все коммуник.;;Планета-Крым (0654) 23-14-28;;29 600 000,
;;;;;;;;;;;;;;;;;;;;;;
57;;Продажа;;Нижняя Ореанда;Жилая недвижимость;Домовладение;;;;167/-/-;;7.5 сот;;ИП;;3;;новой постройки, с отделкой, газ;;Планета-Крым (0654) 23-14-28;;16 560 000,
;;;;;;;;;;;;;;;;;;;;;;
58;;Продажа;;Ореанда;Жилая недвижимость;2 к.кв.;;;"ЖК ""Ореанда Плаза""";94/-/-;;;;ИП;;1,2/10;;"два уровня, ""премиум класс"", две лоджии по 16 м.";;Планета-Крым (978) 738-71-76;;17 300 000,
59;;Продажа;;Ореанда;Жилая недвижимость;Вилла;;;Парковая зона;800/-/-;;14 сот;;ИП;;;;"""Premium"" класс,, 200  м. до моря";;Планета-Крым (978) 738-71-77;;225 000 000,
;;;;;;;;;;;;;;;;;;;;;;
60;;Продажа;;Отрадное;Жилая недвижимость;3 к.кв.;;Отрадная;;58/36/7;;2 сот;;СФ;;1/2;;жилое состояние, сараи;;Планета-Крым (0654) 23-14-28;;5 450 000,
61;;Продажа;;Отрадное;Жилая недвижимость;Дом;;;;507/-/-;;7.5 сот;;;;;;граничит с лесом, бассейн, ручей, бытовая техника, мебель, газ, до моря 300 м.;;Планета-Крым (978) 742-28-94;;34 650 000,
62;;Продажа;;Отрадное;Жилая недвижимость;Эллинг;;;сан. Прибрежный;36/-/-;;;;ИП;;2;;1-я линия к морю, вид на море, все коммуникации, мебель;;Планета-Крым (0654) 23-14-28;;4 140 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 6 из 9;;;
;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;;Конт. инф., конт. телефон;;Цена
63;;Продажа;;Отрадное;Жилая недвижимость;Эллинг;;;;260/-/-;;;;ИП;;5;;2-я линия к морю, все коммуникации, отопление, 7 номеров, можно использовать как мини-гостиницу;;Планета-Крым (0654) 23-14-28;;23 400 000,
64;;Продажа;;Отрадное;Жилая недвижимость;Эллинг, 4 комн.;;;грузовой порт;190/-/-;;1 сот;;ИП;;3;;отл. сост., ремонт, парковка, до моря 30 м, свой пляж;;Планета-Крым (0654) 23-14-28;;29 600 000,
65;;Продажа;;Отрадное;Жилая недвижимость;Эллинг;;;;253/-/-;;0.8 сот;;;;4;;новострой, все коммуникации, мебель,бытовая техника, до моря 100 м.;;Планета-Крым (0654) 23-14-28;;32 000 000,
;;;;;;;;;;;;;;;;;;;;;;
66;;Продажа;;Пушкино;Жилая недвижимость;Дом;;пер. Южный;;120/-/-;;20 сот;;;;2;;деревянный сруб, бассейн, баня, сторожка, сад, вид на море;;Планета-Крым (0654) 23-14-28;;22 200 000,
;;;;;;;;;;;;;;;;;;;;;;
67;;Продажа;;Семидворье;Жилая недвижимость;1 к.кв.;;;"ЖК ""Эллада""";64/-/-;;;;ИП;;6/6;;на берегу моря, закрытый комплекс, мебель, бытовая техника;;Планета-Крым (978) 738-71-76;;7 150 000,
;;;;;;;;;;;;;;;;;;;;;;
68;;Продажа;;Симеиз;Жилая недвижимость;1 к.кв.;;Васильченко;Подгорная;30/19/7;;;;СФ;;1/3;;светлая, удовлетворительное состояние,высокие потолки;;Планета-Крым (978) 738-71-76;;2 700 000,
69;;Продажа;;Симеиз;Жилая недвижимость;Эллинг;;Баранова;;240/-/-;;;;ИП;;;;закрытая территория, на берегу моря, 3 этажа, эксклюзивный дизайн, паркинг;;Планета-Крым (978) 738-71-77;;54 000 000,
;;;;;;;;;;;;;;;;;;;;;;
70;;Продажа;;Судак;Жилая недвижимость;Дом, 14 комн.;;Инициативных;Аквапарк;650/-/-;;5.7 сот;;;;4;;2 гаража, без отделки, до моря 1 км;;Планета-Крым (0654) 23-14-28;;5 032 000,
;;;;;;;;;;;;;;;;;;;;;;
71;;Продажа;;Щелкино;Жилая недвижимость;Участок;;;;;;3000 сот;;;;;;бероговая линия, госакт, можно по 2 га;;Планета-Крым (0654) 23-14-28;;75000.00 руб./сотка
;;;;;;;;;;;;;;;;;;;;;;
72;;Продажа;;Ялта;Жилая недвижимость;1 к.кв.;;Дражинского;Массандровский пляж;41/20/13;;;;СФ;;1/2;;в жилом состоянии, газовая колонка, палисадник;;Планета-Крым (978) 742-28-94;;3 700 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 7 из 9;;;
;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;;Конт. инф., конт. телефон;;Цена
73;;Продажа;;Ялта;Жилая недвижимость;1 к.кв.;Набережная;Морская;;46/-/-;;;;СФ;;3/4;;новострой, бойлер, вид на море, 2Б;;Планета-Крым (0654) 23-14-28;;4 255 000,
74;;Продажа;;Ялта;Жилая недвижимость;1 к.кв.;;Дзержинского;Райотдел;41/17/9;;;;УЛ;;2/9;;хор. сост.;;Планета-Крым (0654) 23-14-28;;4 750 000,
75;;Продажа;;Ялта;Жилая недвижимость;1 к.кв.;;Блюхера;Консоль;45/-/-;;;;УЛ;;9/10;;переделанная в 2 ккв, в отличном состоянии, теплые полы, мебель, бытовая техника;;Планета-Крым (978) 738-71-76;;5 130 000,
76;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Свердлова;;52/29/6;;;;ГР;;1/5;;жилое состояние, ИЗ, высокий;;Планета-Крым (0654) 23-14-28;;2 590 000,
77;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Блюхера;Вертолетная площадка;54/30/9;;;;УЛ;;5/9;;"новострой, ""Консоль"", бойлер, вид горы";;Планета-Крым (0654) 23-14-28;;3 145 000,
78;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Курчатова;Вертолетная площадка;63/32/9;;;;УЛ;;1/9;;после ремонта, электроплиты, бойлер, лоджии утеплены;;Планета-Крым (0654) 23-14-28;;3 330 000,
79;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Грибоедова;Консоль;56/30/9;;;;ИП;;3/10;;автономное отопление, без в\о, введен в эксплуатацию;;Планета-Крым (978) 738-71-76;;4 800 000,
80;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Данченко;Массандровский пляж;49/-/-;;;;СФ;;2/2;;ЕР, котел, мебель;;Планета-Крым (0654) 23-14-28;;4 810 000,
81;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Киевская;;36/22/6;;;;ХР;;5/5;;требуется ремонт, возможен торг;;Планета-Крым (0654) 23-14-28;;4 850 000,
82;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Московская;;49/30/7;;;;ХР;;5/5;;окна во двор, состояние удовлетворительное;;Планета-Крым (978) 738-71-76;;5 000 000,
83;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Руданского;;46/30/6;;;;ХР;;5/5;;сост. удовл., ровное место;;Планета-Крым (0654) 23-14-28;;5 250 000,
84;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Руданского;;57/30/-;;;;СТ;;4/4;;состояние жилое;;Планета-Крым (0654) 23-14-28;;5 520 000,
85;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Володарского;;70/20/9;;;;СФ;;2/2;;хор. сост., котел, свой дворик, парковка, мебель, сарай;;Планета-Крым (0654) 23-14-28;;7 000 000,
86;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Дражинского;Массандровский пляж;56/41/8;;;;СФ;;1/3;;хор. сост., внутренний дворик 25 кв.м;;Планета-Крым (0654) 23-14-28;;7 500 000,
87;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Загородная;;100/-/-;;;;УЛ;;1/10;;новострой, фактически второй этаж, вид на море, б/о, +парковка для авто;;Планета-Крым (0654) 23-14-28;;9 000 000,
88;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Графский проезд;;59/47/8;;;;СФ;;2/2;;хор. сост., 2 ур., высокие потолки;;Планета-Крым (0654) 23-14-28;;9 500 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 8 из 9;;;
;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID;Рубрика;;Город;Раздел;Кол-во комнат / Тип;Район;Улица;Ориентир;Площ.;Площ. уч.;;Тип план.;;Эт./Эт.;;Примечание;;;Конт. инф., конт. телефон;;Цена
89;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;Щорса;;"ЖК ""Южный берег""";85/-/-;;;;;;1/7;;ремонт, мебель, бытовая техника, автономное отопление;;Планета-Крым (978) 738-71-76;;10 700 000,
90;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;Центр;Таврическая;;90/-/-;;;;УЛ;;4/12;;новострой, бойлер, вид на море, паркинг, охрана;;Планета-Крым (0654) 23-14-28;;11 000 000,
91;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Киевская;;92/-/-;;;;УЛ;;10/13;;новострой, после дизайнерского ремонта, быт. техника, вид на море;;Планета-Крым (0654) 23-14-28;;14 000 000,
92;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Свердлова;"комплекс ""Эгоист""";74/44/16;;;;ИП;;4/10;;дизайнерский ремонт, АОГВ, мебель, консьерж;;Планета-Крым (0654) 23-14-28;;14 800 000,
93;;Продажа;;Ялта;Жилая недвижимость;2 к.кв.;;Володарского;;67/-/-;;;;УЛ;;8/11;;новый дом, апартамент, панорамный вид, мебель, бытовая техника, консьерж;;Планета-Крым (0654) 23-14-28;;15 000 000,
94;;Продажа;;Ялта;Жилая недвижимость;3 к.кв.;;Дзержинского;;55/-/-;;;;УЛ;;1/8;;жилое сост., можно под офис;;Планета-Крым (0654) 23-14-28;;4 000 000,
95;;Продажа;;Ялта;Жилая недвижимость;3 к.кв.;;Садовая;Овощной  рынок;57/40/6;;;;ГР;;1/5;;жилое состояние, автономное отопление, палисадник.;;Планета-Крым (0654) 23-14-28;;6 500 000,
96;;Продажа;;Ялта;Жилая недвижимость;3 к.кв.;;Садовая;;80/50/-;;;;ИП;;1,2/2;;в/у, место под а/м, мебель, техника, ровное место;;Планета-Крым (0654) 23-14-28;;11 000 000,
97;;Продажа;;Ялта;Жилая недвижимость;3 к.кв.;;К.Маркса;Набережная;65/-/-;;;;СТ;;1/2;;отдельный вход, в отличном состоянии, первая линия, можно под офис;;Планета-Крым (978) 742-28-94;;13 250 000,
98;;Продажа;;Ялта;Жилая недвижимость;3 к.кв.;;Набережная;"""6-й элемент""";212/95/-;;;;ИП;;;;3 спальни, 2 с/у, сауна, мебель, бытовая техника, вид на бухту. Два паркоместа;;Планета-Крым (978) 738-71-76;;100 000 000,
99;;Продажа;;Ялта;Жилая недвижимость;4 к.кв.;;Руданского;9 школа;100/60/12;;;;СТ;;4/4;;жилое состояние;;Планета-Крым (0654) 23-14-28;;11 000 000,
100;;Продажа;;Ялта;Жилая недвижимость;4 к.кв.;;;Приморский парк;205/-/-;;;;ИП;;6/14;;"""под ключ"", итальянская мебель, бытовая техника, 150 м до моря";;Планета-Крым (978) 742-28-94;;71 500 000,
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Список введенных записей (Издание № 3 (206) от 20.07.2015; Агенство: ""Планета-Крым (Ялта)"")";;;;;;;;;;;;;;;;;;;стр. 9 из 9;;;